trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
196,False,"{'a': 0.9, 'e': 0.25359925350897383}",20,7,-17.987992595456365,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.25183025744403303}",20,13,-2.142648726665235,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.2500736011120941}",30,15,6.478094809712796,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.24832919843664528}",25,13,18.063100523150005,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.9, 'e': 0.24659696394160643}",25,17,15.162269752438947,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.9, 'e': 0.24487681274714082}",20,12,14.075961297222205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 0.24316866056549566}",20,12,10.388237586951542,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.24147242369687225}",25,10,24.969891836124795,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.2397880190253247}",25,7,13.003816451063038,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.23811536401468703}",20,16,8.391273073826513,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.2364543767045291}",20,15,9.71712285954959,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.2348049757061403}",25,11,-37.23611864146286,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
208,False,"{'a': 0.9, 'e': 0.2331670801985418}",20,5,23.245099073815144,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.9, 'e': 0.2315406099245259}",25,0,-25.3427210629787,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
210,False,"{'a': 0.9, 'e': 0.22992548518672384}",20,0,24.8834385407233,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.9, 'e': 0.22832162684370022}",35,14,-62.42375254619334,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
212,False,"{'a': 0.9, 'e': 0.22672895630607542}",20,0,-2.8423240947208392,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
213,False,"{'a': 0.9, 'e': 0.22514739553267432}",25,15,12.50094705324554,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9, 'e': 0.22357686702670268}",25,15,-36.6722627825468,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
215,False,"{'a': 0.9, 'e': 0.22201729383194937}",25,11,20.88816882945455,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.9, 'e': 0.22046859952901593}",25,10,0.09962486976642393,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
217,False,"{'a': 0.9, 'e': 0.2189307082315715}",35,15,25.005212692774144,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 0.21740354458263497}",20,7,11.245003969265,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.9, 'e': 0.2158870337508818}",25,8,12.543171116605862,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.21438110142697794}",25,12,20.239887711323053,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.9, 'e': 0.21288567381993817}",20,0,-2.042232352248419,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
222,False,"{'a': 0.9, 'e': 0.21140067765351048}",20,0,-23.302640483009107,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
223,False,"{'a': 0.9, 'e': 0.20992604016258565}",35,0,18.353553262489967,"{0: 32, 1: 1, 2: 2, 3: 0, 4: 0}",0
224,False,"{'a': 0.9, 'e': 0.20846168908963153}",25,13,-44.78065650107797,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
225,False,"{'a': 0.9, 'e': 0.20700755268115265}",35,17,18.049313735526226,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.9, 'e': 0.2055635596841739}",20,0,-48.57113774274803,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
227,False,"{'a': 0.9, 'e': 0.20412963934274964}",20,0,-66.06085119081999,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
228,False,"{'a': 0.9, 'e': 0.2027057213944961}",25,11,17.154102706316056,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 0.2012917360671491}",25,0,6.077403507271185,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
230,False,"{'a': 0.9, 'e': 0.1998876140751445}",25,9,4.533061709565209,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
231,False,"{'a': 0.9, 'e': 0.19849328661622387}",30,0,-49.46548292140557,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
232,False,"{'a': 0.9, 'e': 0.19710868536806264}",20,0,20.515445604726217,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
233,False,"{'a': 0.9, 'e': 0.19573374248492273}",20,9,-48.2492427600741,"{0: 8, 1: 0, 2: 0, 3: 3, 4: 0}",1
234,False,"{'a': 0.9, 'e': 0.19436839059432767}",30,0,32.508138199126066,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
235,False,"{'a': 0.9, 'e': 0.19301256279376172}",25,0,-16.092972913848953,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
236,False,"{'a': 0.9, 'e': 0.19166619264739126}",30,15,24.012183892303394,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 0.19032921418280985}",25,11,-71.1970659394285,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
238,False,"{'a': 0.9, 'e': 0.18900156188780515}",25,5,17.098157517245745,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 0.18768317070714904}",20,0,27.46247707858391,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
240,False,"{'a': 0.9, 'e': 0.18637397603940997}",30,4,-4.923914337166605,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.9, 'e': 0.18507391373378718}",25,0,18.130037301434612,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
242,False,"{'a': 0.9, 'e': 0.18378292008696764}",20,16,6.656009012810051,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9, 'e': 0.1825009318400043}",25,17,15.381944481877293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.9, 'e': 0.1812278861752166}",25,13,-65.31326553256815,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
245,False,"{'a': 0.9, 'e': 0.17996372071311217}",30,14,-26.541253203720736,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
246,False,"{'a': 0.9, 'e': 0.17870837350933053}",20,9,6.787488855962563,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.9, 'e': 0.17746178305160745}",20,4,-3.285262369670351,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.1762238882567611}",30,7,12.690696394125153,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.17499462846769887}",20,0,-21.03481736852023,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
250,False,"{'a': 0.9, 'e': 0.17377394345044514}",25,10,-11.198695162404281,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
251,False,"{'a': 0.9, 'e': 0.17256177339118975}",20,8,-29.426362179299208,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
252,False,"{'a': 0.9, 'e': 0.17135805889335737}",30,24,12.329026051162998,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.9, 'e': 0.1701627409746967}",20,0,-26.672656323184494,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
254,False,"{'a': 0.9, 'e': 0.16897576106439058}",20,9,19.85788897761497,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.9, 'e': 0.16779706100018585}",20,0,9.381373845225067,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
256,False,"{'a': 0.9, 'e': 0.16662658302554365}",30,4,23.903931003566118,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
257,False,"{'a': 0.9, 'e': 0.16546426978680895}",20,8,4.067730410421905,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.9, 'e': 0.16431006433040046}",25,1,1.3029409227868467,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
259,False,"{'a': 0.9, 'e': 0.16316391010001996}",25,19,10.108273062027319,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.9, 'e': 0.16202575093388075}",20,0,-58.02185998668347,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
261,False,"{'a': 0.9, 'e': 0.16089553106195606}",25,15,13.93346290865724,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.9, 'e': 0.15977319510324592}",25,5,24.14197823593904,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.9, 'e': 0.15865868806306388}",30,7,-20.584255556262995,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
264,False,"{'a': 0.9, 'e': 0.15755195533034191}",25,15,6.939062818994656,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.9, 'e': 0.15645294267495474}",20,1,29.484176457743978,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.9, 'e': 0.15536159624506227}",20,11,7.837412602299223,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.9, 'e': 0.15427786256447115}",20,16,7.553670363982435,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.9, 'e': 0.15320168853001417}",25,0,-14.651500508432752,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
